Date,Category,Subcategory,Task,Total
2022/5/4,Health,Resistance Training,Abs,4
2022/5/5,Health,Resistance Training,Abs,4
2022/5/6,Health,Resistance Training,Abs,8
2022/5/7,Health,Resistance Training,Abs,8
2022/5/8,Health,Resistance Training,Abs,8
2022/5/9,Health,Resistance Training,Abs,8
2022/5/10,Health,Resistance Training,Abs,8
2022/5/11,Health,Resistance Training,Abs,4
2022/5/12,Health,Resistance Training,Abs,5
2022/5/13,Health,Resistance Training,Abs,4
2022/5/14,Health,Resistance Training,Abs,4
2022/5/15,Health,Resistance Training,Abs,4
2022/5/16,Health,Resistance Training,Abs,4
2022/5/17,Health,Resistance Training,Abs,4
2022/5/18,Health,Resistance Training,Abs,4
2022/5/19,Health,Resistance Training,Abs,4
2022/5/20,Health,Resistance Training,Abs,4
2022/5/21,Health,Resistance Training,Abs,4
2022/5/22,Health,Resistance Training,Abs,4
2022/5/23,Health,Resistance Training,Abs,4
2022/5/24,Health,Resistance Training,Abs,4
2022/5/25,Health,Resistance Training,Abs,4
2022/5/26,Health,Resistance Training,Abs,4
2022/5/27,Health,Resistance Training,Abs,4
2022/5/28,Health,Resistance Training,Abs,5
2022/5/29,Health,Resistance Training,Abs,4
2022/5/30,Health,Resistance Training,Abs,4
2022/5/31,Health,Resistance Training,Abs,4
2022/6/1,Health,Resistance Training,Abs,4
2022/6/2,Health,Resistance Training,Abs,4
2022/6/3,Health,Resistance Training,Abs,4
2022/6/4,Health,Resistance Training,Abs,4
2022/6/5,Health,Resistance Training,Abs,4
2022/6/6,Health,Resistance Training,Abs,4
2022/6/7,Health,Resistance Training,Abs,4
2022/6/8,Health,Resistance Training,Abs,4
2022/6/9,Health,Resistance Training,Abs,4
2022/6/10,Health,Resistance Training,Abs,6
2022/6/11,Health,Resistance Training,Abs,4
2022/6/12,Health,Resistance Training,Abs,4
2022/6/13,Health,Resistance Training,Abs,4
2022/6/14,Health,Resistance Training,Abs,5
2022/6/15,Health,Resistance Training,Abs,5
2022/6/16,Health,Resistance Training,Abs,4
2022/6/17,Health,Resistance Training,Abs,4
2022/6/18,Health,Resistance Training,Abs,4
2022/6/19,Health,Resistance Training,Abs,4
2022/6/20,Health,Resistance Training,Abs,4
2022/6/21,Health,Resistance Training,Abs,4
2022/6/22,Health,Resistance Training,Abs,4
2022/6/23,Health,Resistance Training,Abs,4
2022/6/24,Health,Resistance Training,Abs,4
2022/6/25,Health,Resistance Training,Abs,4
2022/6/26,Health,Resistance Training,Abs,4
2022/6/27,Health,Resistance Training,Abs,4
2022/6/28,Health,Resistance Training,Abs,4
2022/6/29,Health,Resistance Training,Abs,4
2022/6/30,Health,Resistance Training,Abs,4
2022/7/1,Health,Resistance Training,Abs,4
2022/7/2,Health,Resistance Training,Abs,4
2022/7/3,Health,Resistance Training,Abs,4
2022/7/4,Health,Resistance Training,Abs,8
2022/7/5,Health,Resistance Training,Abs,7
2022/7/6,Health,Resistance Training,Abs,4
2022/7/7,Health,Resistance Training,Abs,4
2022/7/8,Health,Resistance Training,Abs,4
2022/7/9,Health,Resistance Training,Abs,4
2022/7/10,Health,Resistance Training,Abs,4
2022/7/11,Health,Resistance Training,Abs,4
2022/7/12,Health,Resistance Training,Abs,4
2022/7/13,Health,Resistance Training,Abs,6
2022/7/14,Health,Resistance Training,Abs,7
2022/7/15,Health,Resistance Training,Abs,6
2022/7/16,Health,Resistance Training,Abs,5
2022/7/17,Health,Resistance Training,Abs,6
2022/7/18,Health,Resistance Training,Abs,5
2022/7/19,Health,Resistance Training,Abs,10
2022/7/20,Health,Resistance Training,Abs,7
2022/7/21,Health,Resistance Training,Abs,4
2022/7/22,Health,Resistance Training,Abs,10
2022/7/23,Health,Resistance Training,Abs,4
2022/7/24,Health,Resistance Training,Abs,4
2022/7/25,Health,Resistance Training,Abs,4
2022/7/26,Health,Resistance Training,Abs,6
2022/7/27,Health,Resistance Training,Abs,5
2022/7/28,Health,Resistance Training,Abs,5
2022/7/29,Health,Resistance Training,Abs,7
2022/7/30,Health,Resistance Training,Abs,6
2022/7/31,Health,Resistance Training,Abs,5
2022/8/1,Health,Resistance Training,Abs,5
2022/8/2,Health,Resistance Training,Abs,5
2022/8/3,Health,Resistance Training,Abs,6
2022/8/4,Health,Resistance Training,Abs,5
2022/8/5,Health,Resistance Training,Abs,5
2022/8/6,Health,Resistance Training,Abs,6
2022/8/7,Health,Resistance Training,Abs,9
2022/8/8,Health,Resistance Training,Abs,5
2022/8/9,Health,Resistance Training,Abs,5
2022/8/10,Health,Resistance Training,Abs,5
2022/8/11,Health,Resistance Training,Abs,5
2022/8/12,Health,Resistance Training,Abs,5
2022/8/13,Health,Resistance Training,Abs,6
2022/8/14,Health,Resistance Training,Abs,5
2022/8/15,Health,Resistance Training,Abs,6
2022/8/16,Health,Resistance Training,Abs,5
2022/8/17,Health,Resistance Training,Abs,5
2022/8/18,Health,Resistance Training,Abs,5
2022/8/19,Health,Resistance Training,Abs,5
2022/8/20,Health,Resistance Training,Abs,5
2022/8/21,Health,Resistance Training,Abs,5
2022/8/22,Health,Resistance Training,Abs,6
2022/8/23,Health,Resistance Training,Abs,5
2022/8/24,Health,Resistance Training,Abs,5
2022/8/25,Health,Resistance Training,Abs,5
2022/8/26,Health,Resistance Training,Abs,5
2022/8/27,Health,Resistance Training,Abs,5
2022/8/28,Health,Resistance Training,Abs,6
2022/8/29,Health,Resistance Training,Abs,5
2022/8/30,Health,Resistance Training,Abs,6
2022/8/31,Health,Resistance Training,Abs,5
2022/9/1,Health,Resistance Training,Abs,6
2022/9/2,Health,Resistance Training,Abs,5
2022/9/3,Health,Resistance Training,Abs,5
2022/9/4,Health,Resistance Training,Abs,5
2022/9/5,Health,Resistance Training,Abs,5
2022/9/6,Health,Resistance Training,Abs,5
2022/9/7,Health,Resistance Training,Abs,5
2022/9/8,Health,Resistance Training,Abs,5
2022/9/9,Health,Resistance Training,Abs,6
2022/9/10,Health,Resistance Training,Abs,9
2022/9/11,Health,Resistance Training,Abs,5
2022/9/12,Health,Resistance Training,Abs,5
2022/9/13,Health,Resistance Training,Abs,9
2022/9/14,Health,Resistance Training,Abs,5
2022/9/15,Health,Resistance Training,Abs,5
2022/9/16,Health,Resistance Training,Abs,6
2022/9/17,Health,Resistance Training,Abs,5
2022/9/18,Health,Resistance Training,Abs,10
2022/9/19,Health,Resistance Training,Abs,5
2022/9/20,Health,Resistance Training,Abs,7
2022/9/21,Health,Resistance Training,Abs,7
2022/9/22,Health,Resistance Training,Abs,5
2022/9/23,Health,Resistance Training,Abs,5
2022/9/24,Health,Resistance Training,Abs,5
2022/9/25,Health,Resistance Training,Abs,7
2022/9/26,Health,Resistance Training,Abs,5
2022/9/27,Health,Resistance Training,Abs,5
2022/9/28,Health,Resistance Training,Abs,5
2022/9/29,Health,Resistance Training,Abs,5
2022/9/30,Health,Resistance Training,Abs,5
2022/10/1,Health,Resistance Training,Abs,5
2022/10/2,Health,Resistance Training,Abs,5
2022/10/3,Health,Resistance Training,Abs,5
2022/10/4,Health,Resistance Training,Abs,5
2022/10/5,Health,Resistance Training,Abs,5
2022/10/6,Health,Resistance Training,Abs,5
2022/10/7,Health,Resistance Training,Abs,5
2022/10/8,Health,Resistance Training,Abs,5
2022/10/9,Health,Resistance Training,Abs,5
2022/10/10,Health,Resistance Training,Abs,5
2022/10/11,Health,Resistance Training,Abs,5
2022/10/12,Health,Resistance Training,Abs,5
2022/10/13,Health,Resistance Training,Abs,8
2022/10/14,Health,Resistance Training,Abs,7
2022/10/15,Health,Resistance Training,Abs,5
2022/10/16,Health,Resistance Training,Abs,5
2022/10/17,Health,Resistance Training,Abs,5
2022/10/18,Health,Resistance Training,Abs,5
2022/10/19,Health,Resistance Training,Abs,5
2022/10/20,Health,Resistance Training,Abs,5
2022/10/21,Health,Resistance Training,Abs,5
2022/10/22,Health,Resistance Training,Abs,5
2022/10/23,Health,Resistance Training,Abs,5
2022/10/24,Health,Resistance Training,Abs,5
2022/10/25,Health,Resistance Training,Abs,5
2022/10/26,Health,Resistance Training,Abs,5
2022/10/27,Health,Resistance Training,Abs,5
2022/10/28,Health,Resistance Training,Abs,5
2022/10/29,Health,Resistance Training,Abs,5
2022/10/30,Health,Resistance Training,Abs,5
2022/10/31,Health,Resistance Training,Abs,5
2022/11/1,Health,Resistance Training,Abs,5
2022/11/2,Health,Resistance Training,Abs,5
2022/11/3,Health,Resistance Training,Abs,5
2022/11/4,Health,Resistance Training,Abs,5
2022/11/5,Health,Resistance Training,Abs,5
2022/11/6,Health,Resistance Training,Abs,6
2022/11/7,Health,Resistance Training,Abs,5
2022/11/8,Health,Resistance Training,Abs,5
2022/11/9,Health,Resistance Training,Abs,5
2022/11/10,Health,Resistance Training,Abs,5
2022/11/11,Health,Resistance Training,Abs,5
2022/11/12,Health,Resistance Training,Abs,5
2022/11/13,Health,Resistance Training,Abs,5
2022/11/14,Health,Resistance Training,Abs,5
2022/11/15,Health,Resistance Training,Abs,5
2022/11/16,Health,Resistance Training,Abs,5
2022/11/17,Health,Resistance Training,Abs,5
2022/11/18,Health,Resistance Training,Abs,5
2022/11/19,Health,Resistance Training,Abs,5
2022/11/20,Health,Resistance Training,Abs,5
2022/11/21,Health,Resistance Training,Abs,5
2022/11/22,Health,Resistance Training,Abs,5
2022/11/23,Health,Resistance Training,Abs,5
2022/11/24,Health,Resistance Training,Abs,5
2022/11/25,Health,Resistance Training,Abs,5
2022/11/26,Health,Resistance Training,Abs,5
2022/11/27,Health,Resistance Training,Abs,5
2022/11/28,Health,Resistance Training,Abs,5
2022/11/29,Health,Resistance Training,Abs,5
2022/11/30,Health,Resistance Training,Abs,5
2022/12/1,Health,Resistance Training,Abs,5
2022/12/2,Health,Resistance Training,Abs,5
2022/12/3,Health,Resistance Training,Abs,5
2022/12/4,Health,Resistance Training,Abs,5
2022/12/5,Health,Resistance Training,Abs,5
2022/12/6,Health,Resistance Training,Abs,5
2022/12/7,Health,Resistance Training,Abs,5
2022/12/8,Health,Resistance Training,Abs,5
2022/12/9,Health,Resistance Training,Abs,5
2022/12/10,Health,Resistance Training,Abs,5
2022/12/11,Health,Resistance Training,Abs,5
2022/12/12,Health,Resistance Training,Abs,5
2022/12/13,Health,Resistance Training,Abs,5
2022/12/14,Health,Resistance Training,Abs,5
2022/12/15,Health,Resistance Training,Abs,5
2022/12/16,Health,Resistance Training,Abs,5
2022/12/17,Health,Resistance Training,Abs,5
2022/12/18,Health,Resistance Training,Abs,5
2022/12/19,Health,Resistance Training,Abs,5
2022/12/20,Health,Resistance Training,Abs,5
2022/12/21,Health,Resistance Training,Abs,5
2022/12/22,Health,Resistance Training,Abs,5
2022/12/23,Health,Resistance Training,Abs,5
2022/12/24,Health,Resistance Training,Abs,5
2022/12/25,Health,Resistance Training,Abs,5
2022/12/26,Health,Resistance Training,Abs,5
2022/12/27,Health,Resistance Training,Abs,5
2022/12/28,Health,Resistance Training,Abs,5
2022/12/29,Health,Resistance Training,Abs,5
2022/12/30,Health,Resistance Training,Abs,5
2022/12/31,Health,Resistance Training,Abs,5
2023/1/1,Health,Resistance Training,Abs,5
2023/1/2,Health,Resistance Training,Abs,5
2023/1/3,Health,Resistance Training,Abs,5
2023/1/4,Health,Resistance Training,Abs,5
2023/1/5,Health,Resistance Training,Abs,5
2023/1/6,Health,Resistance Training,Abs,5
2023/1/7,Health,Resistance Training,Abs,5
2023/1/8,Health,Resistance Training,Abs,5
2023/1/9,Health,Resistance Training,Abs,5
2023/1/10,Health,Resistance Training,Abs,5
2023/1/11,Health,Resistance Training,Abs,5
2023/1/12,Health,Resistance Training,Abs,5
2023/1/13,Health,Resistance Training,Abs,5
2023/1/14,Health,Resistance Training,Abs,5
2023/1/15,Health,Resistance Training,Abs,5
2023/1/16,Health,Resistance Training,Abs,5
2023/1/17,Health,Resistance Training,Abs,5
2023/1/18,Health,Resistance Training,Abs,5
2023/1/19,Health,Resistance Training,Abs,5
2023/1/20,Health,Resistance Training,Abs,5
2023/1/21,Health,Resistance Training,Abs,5
2023/1/22,Health,Resistance Training,Abs,5
2023/1/23,Health,Resistance Training,Abs,5
2023/1/24,Health,Resistance Training,Abs,5
2023/1/25,Health,Resistance Training,Abs,5
2023/1/26,Health,Resistance Training,Abs,5
2023/1/27,Health,Resistance Training,Abs,5
2023/1/28,Health,Resistance Training,Abs,5
2023/1/29,Health,Resistance Training,Abs,5
